"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","geometry"
"VZS_HARS","Hardbrücke Süd (Seite HB)","","Y2H16069943","1037","Escher-Wyss-Platz","Hardplatz","20160707000000","111","POINT (2681339 1248646.8)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20171004000000","U15G3063869","1689","Limmat","Gleisanlagen","20170410000000","112","POINT (2682171 1249123.9)"
"FZS_CASS","Cassiopeiasteg","20171004000000","U15G3104443","1688","Stadtgrenze","Bellevue","20170411000000","113","POINT (2683020.2 1244136.2)"
"FZS_CHOR","Chorherrenweg","20171004000000","U15G4025180","1690","Limmat","Meierhofplatz","20170411000000","114","POINT (2680002 1250595.9)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20180326000000","Y2H16039396","2637","Helvetiaplatz","Limmatplatz","20171003000000","115","POINT (2682360 1248448.2)"
"FZS_HARD","Hardeggsteg","20190115000000","U15G4025180","3278","Kloster-Fahr-Weg","Hardturmstrasse","20181002000000","116","POINT (2680439 1249929.9)"
"FZS_LIMM","Limmatquai","","YSH18065716","3279","Rathaus","Seeufer","20181001000000","117","POINT (2683437 1247198.9)"
"FZS_LETD","Letten / Dynamo","20190401000000","U15G3063869","3281","Limmatplatz","Hauptbahnhof","20181001000000","118","POINT (2682978 1248743.9)"
"VZS_LUXG","Lux-Guyer-Weg","20190307000000","ECO08011668","3917","Innenstadt","Wipkingen","20181221000000","119","POINT (2682933 1248820.9)"
"VZS_SCHE","Scheuchzerstrasse","20190307000000","ECO06040592","3918","Innenstadt","Irchel","20181221000000","120","POINT (2683573 1248544.9)"
"VZS_MYTH","Mythenquai","20190307000000","ECO07091438","3919","Innenstadt","Wollishofen","20181222000000","121","POINT (2682873 1245890.9)"
"VZS_BERT","Bertastrasse","20190308000000","ECO07111527","3920","Wiedikon","Aussersihl","20181221000000","122","POINT (2681385 1247735.9)"
"VZS_SIHL","Sihlpromenade","20190308000000","ECO07101504","3921","Innenstadt","Saalsporthalle","20181222000000","123","POINT (2682375 1247054.9)"
"VZS_TALS","Talstrasse","","Y2H19111476","2991","Seeufer","Hauptbahnhof","20191204000000","124","POINT (2682756 1247322.9)"
"VZS_BERT","Bertastrasse","","ECO09113506","3923","Wiedikon","Aussersihl","20190309000000","125","POINT (2681385 1247735.9)"
"VZS_SIHL","Sihlpromenade","","ECO09113503","3924","Innenstadt","Saalsporthalle","20190309000000","126","POINT (2682375 1247054.9)"
"VZS_SCHE","Scheuchzerstrasse","20190704000000","ECO09113501","3925","Innenstadt","Irchel","20190308000000","127","POINT (2683573 1248544.9)"
"VZS_LUXG","Lux-Guyer-Weg","20200213000000","ECO09022739","3926","Innenstadt","Wipkingen","20190308000000","128","POINT (2682933 1248820.9)"
"VZS_MYTH","Mythenquai","","ECO09113499","3927","Innenstadt","Wollishofen","20190308000000","129","POINT (2682873 1245890.9)"
"VZS_ZOLL","Zollstrasse","","Y2H19070283","2980","Langstrasse","Sihlquai","20190723081500","130","POINT (2682944.8 1248225)"
