date,count
2020-02-12 01,2.6
2020-02-12 02,1.42
2020-02-12 03,0.73
2020-02-12 04,1.61
2020-02-12 05,2.85
2020-02-12 06,9.25
2020-02-12 07,30.11
2020-02-12 08,61
2020-02-12 09,51.1
2020-02-12 10,23.88
2020-02-12 11,19.64
2020-02-12 12,20.36
2020-02-12 13,21.88
2020-02-12 14,19.94
2020-02-12 15,19.57
2020-02-12 16,28.35
2020-02-12 17,44.19
2020-02-12 18,50.29
2020-02-12 19,35.49
2020-02-12 20,22.6
2020-02-12 21,16.93
2020-02-12 22,10.4
2020-02-12 23,6.61
2020-02-13 00,3.68
2020-02-13 01,2.81
2020-02-13 02,1.43
2020-02-13 03,0.61
2020-02-13 04,1.36
2020-02-13 05,1.43
2020-02-13 06,6.49
2020-02-13 07,26.81
2020-02-13 08,60.62
2020-02-13 09,46.08
2020-02-13 10,23.63
2020-02-13 11,17.96
2020-02-13 12,17.18
2020-02-13 13,17.85
2020-02-13 14,17.02
2020-02-13 15,17.61
2020-02-13 16,27.74
2020-02-13 17,43.15
2020-02-13 18,46.6
2020-02-13 19,31.9
2020-02-13 20,22.51
2020-02-13 21,16.83
2020-02-13 22,12.05
2020-02-13 23,8.58
2020-02-14 00,4.15
2020-02-14 01,2.81
2020-02-14 02,1.21
2020-02-14 03,0.85
2020-02-14 04,0.76
2020-02-14 05,1.81
2020-02-14 06,8.62
2020-02-14 07,26.23
2020-02-14 08,56.11
2020-02-14 09,49.64
2020-02-14 10,23.39
2020-02-14 11,20.14
2020-02-14 12,25.24
2020-02-14 13,25.79
2020-02-14 14,22.99
2020-02-14 15,23.5
2020-02-14 16,32.7
2020-02-14 17,42.54
2020-02-14 18,42.12
2020-02-14 19,25.42
2020-02-14 20,17.11
2020-02-14 21,13.63
