id,name,village,lon,lat
349,St. George Street,Mayfair,-0.142783,51.51196
350,Queen's Gate,Kensington Gardens,-0.179854,51.501715
351,Macclesfield Rd,St Lukes,-0.097122,51.529423
352,Vauxhall Street,Vauxhall,-0.116625,51.486965
353,Greycoat Street,Westminster,-0.134234,51.494591
354,Northumberland Avenue,Strand,-0.123702,51.506767
355,Oval Way,Vauxhall,-0.117286,51.486575
356,South Kensington Station,South Kensington,-0.173881,51.494412
357,Howland Street,Fitzrovia,-0.139016,51.520994
358,High Holborn,Covent Garden,-0.124826,51.516226
359,Butler Place,Westminster,-0.13544,51.497829
360,Howick Place,Westminster,-0.138733,51.496753
361,Waterloo Station 2,Waterloo,-0.113426,51.503919
362,Royal College Street,Camden Town,-0.133952,51.536264
363,Lord's,St. John's Wood,-0.171185,51.529121
364,Alfred Place,Bloomsbury,-0.132339,51.519656
365,City Road,Angel,-0.100168,51.530344
366,Millennium Hotel,Mayfair,-0.151126,51.510919
367,Harrowby Street,Marylebone,-0.164207,51.517372
368,Harriet Street,Knightsbridge,-0.15934,51.500241
370,Paddington Green,Paddington,-0.174593,51.520205
371,King Edward Walk,Waterloo,-0.10988,51.49775
372,Sardinia Street,Holborn,-0.117863,51.515208
373,Prince Consort Road,Knightsbridge,-0.176415,51.499806
374,Waterloo Station 1,Waterloo,-0.113864,51.504027
375,Kensington Town Hall,Kensington,-0.194392,51.501945
376,Millbank Tower,Pimlico,-0.125674,51.491884
377,Waterloo Bridge,South Bank,-0.113656,51.505354
378,Natural History Museum,South Kensington,-0.179077,51.495592
379,Turquoise Island,Notting Hill,-0.200838,51.514311
380,Stanhope Gate,Mayfair,-0.150666,51.506864
381,Charlotte Street,Fitzrovia,-0.135777,51.51953
382,Farm Street,Mayfair,-0.147449,51.509351
383,Frith Street,Soho,-0.131213,51.513103
384,Marloes Road,Kensington,-0.192404,51.496481
386,Moor Street,Soho,-0.13011,51.513527
387,Fire Brigade Pier,Vauxhall,-0.121394,51.493699
388,Southampton Street,Strand,-0.121723,51.510701
