station_id,station_name,description,lat,lon
Sainte-Avoie,Beaubourg - Michel-le-Comte,Sainte-Avoie,48.86253494,2.354310304
Petit-Montrouge,Bézout - Général Leclerc,Petit-Montrouge,48.82884805,2.328597307
Saint-Gervais,Village Saint-Paul,Saint-Gervais,48.85263987,2.360730171
Notre-Dame-des-Champs,Bréa - Raspail,Notre-Dame-des-Champs,48.84273848,2.329794222
Bel-Air,Château de Vincennes,Bel-Air,48.84423193,2.439209538
Maison-Blanche,Bobillot - Tolbiac,Maison-Blanche,48.82559613,2.350204177
Javel,Félix Faure - Convention,Javel,48.84124934,2.288386601
Grenelle,Suffren - La Motte-Piquet,Grenelle,48.85088123,2.30122
Montparnasse,Port Royal - Hôpital Cochin,Montparnasse,48.83837323,2.340717874
Plaisance,Maine - Jean Zay,Plaisance,48.83792526,2.322542891
Charonne,Reynaldo Hahn - Lagny,Charonne,48.84926604,2.412330329
Notre-Dame-des-Champs,Montparnasse -  Square Ozanam,Notre-Dame-des-Champs,48.84331057,2.326524295
Salpêtrière,Saint-Marcel - Hôpital,Salpêtrière,48.83950442,2.360989417
Saint-Thomas-d'Aquin,Square Boucicaut,Saint-Thomas-d'Aquin,48.85129643,2.32506182
Petit-Montrouge,Le Brix et Mesmin - Jourdan,Petit-Montrouge,48.82234097,2.327861653
Pont-de-Flandre,Cambrai - Benjamin Constant,Pont-de-Flandre,48.89594737,2.381133802
Auteuil,Michel-Ange - Parent de Rosan,Auteuil,48.84057992,2.258411944
Rochechouart,Bellefond - Poissonnière,Rochechouart,48.87759897,2.348463759
Bercy,Gabriel Lamé,Bercy,48.83512128,2.38553457
Javel,Place Balard,Javel,48.83639574,2.278419212
Val-de-Grâce,Saint-Jacques - Val de Grâce,Val-de-Grâce,48.8417514,2.3413893
Ecole-Militaire,Vaneau - Sèvres,Ecole-Militaire,48.84856323,2.320421826
Porte-Saint-Denis,Enghien - Faubourg Poissonnière,Porte-Saint-Denis,48.87242006,2.348395236
Faubourg-Montmartre,Faubourg Montmartre - La Fayette,Faubourg-Montmartre,48.87525455,2.340853661
Sorbonne,Estrapade - Ulm,Sorbonne,48.84512773,2.345456817
Invalides,Mairie du 7ème,Invalides,48.8577967,2.3192664
Sainte-Marguerite,Charonne - Faubourg Saint-Antoine,Sainte-Marguerite,48.85219191,2.374093272
Sainte-Marguerite,Boulets - Voltaire,Sainte-Marguerite,48.85218706,2.389030159
Monnaie,Jacques Callot - Mazarine,Monnaie,48.85528018,2.337574326
Ternes,Place des Ternes,Ternes,48.87843863,2.297727764
Plaisance,Ouest - Château,Plaisance,48.83617286,2.319392144
Picpus,Dugommier,Picpus,48.83881105,2.389657795
Saint-Victor,Jussieu - Guy de la Brosse,Saint-Victor,48.845665,2.355653
Plaisance,Boyer-Barret - Raymond Losserand,Plaisance,48.8332988,2.3173384
Belleville,Piat - Parc de Belleville,Belleville,48.87195627,2.38498139
Necker,Place Falguière,Necker,48.83629974,2.310446464
Saint-Ambroise,Square Saint-Ambroise,Saint-Ambroise,48.860934,2.375841
Amérique,Lassus - Delouvain,Amérique,48.87550448,2.389032733
Charonne,Orteaux - Mouraud,Charonne,48.85558643,2.408762908
Saint-Georges,Clichy - Place Blanche,Saint-Georges,48.88360109,2.333223782
Hôpital-Saint-Louis,Granges aux Belles - Hôpital Saint-Louis,Hôpital-Saint-Louis,48.87479499,2.366669437
Europe,Messine - Place Du Pérou,Europe,48.87544803,2.315508019
Saint-Gervais,Vieille du Temple - Francs Bourgeois,Saint-Gervais,48.85825641,2.358217947
Gare,Nationale - Marcel Duchamp,Gare,48.82463749,2.36780148
Parc-de-Montsouris,Ferrus - Saint-Jacques,Parc-de-Montsouris,48.8313878,2.3408563
Villette,Melun - Jean Jaurès,Villette,48.88377967,2.37647742
Grandes-Carrières,René Binet - Porte de Montmartre,Grandes-Carrières,48.8990511,2.33655341
Hôpital-Saint-Louis,Sambre et Meuse - Villette,Hôpital-Saint-Louis,48.87440567,2.373807238
Salpêtrière,Place d'Italie - Vincent Auriol,Salpêtrière,48.83148187,2.356755029
Saint-Vincent-de-Paul,Gare du Nord - Place de Valenciennes,Saint-Vincent-de-Paul,48.879089,2.354235
Porte-Dauphine,Saint-Didier - Raymond Poincaré,Porte-Dauphine,48.86642312,2.285863497
Batignolles,Batignolles - Beudant,Batignolles,48.88216401,2.319852971
Grenelle,La Motte-Picquet - Grenelle,Grenelle,48.84858321,2.299347818
Epinettes,Jacques Kellner - Saint-Ouen,Epinettes,48.89580949,2.327897409
Saint-Vincent-de-Paul,Faubourg Poissonnière - Dunkerque,Saint-Vincent-de-Paul,48.88088345,2.34993428
Quinze-Vingts,Gare de Lyon - Chalon,Quinze-Vingts,48.84566619,2.37414524
Grenelle,Emile Zola - Fondary,Grenelle,48.84705114,2.295340598
Bercy,Place Ginette Hamelin,Bercy,48.837853,2.382064
Necker,Bargue -  Dutot,Necker,48.837884,2.308876
Chaillot,Traktir - Foch,Chaillot,48.87275533,2.29154978
Bonne-Nouvelle,Saint-Denis - Réaumur,Bonne-Nouvelle,48.86611163,2.350779068
Halles,Française - Etienne Marcel,Halles,48.8640533,2.347587012
Plaisance,Adolphe Pinard - Victor Hugo,Plaisance,48.82368259,2.307784371
Saint-Merri,Place de l'Hôtel de Ville,Saint-Merri,48.8573314,2.351458
Montparnasse,Froidevaux - Boulard,Montparnasse,48.83514732,2.329441197
Bonne-Nouvelle,Aboukir - Alexandrie,Bonne-Nouvelle,48.86868344,2.350204327
Maison-Blanche,Gouthière - Poterne des Peupliers,Maison-Blanche,48.820507,2.351342
Combat,Edouard Pailleron - Bouret,Combat,48.88059769,2.376949489
Petit-Montrouge,René Coty - Place Denfert-Rochereau,Petit-Montrouge,48.83305648,2.332941145
La Chapelle,Evangile - Aubervilliers,La Chapelle,48.89503954,2.368796915
Gare,M.- A. Lagroua Weill-Hallé -  F. Dolto,Gare,48.82859528,2.380220606
Pont-de-Flandre,Metz - Marne,Pont-de-Flandre,48.891163,2.3865705
Sorbonne,Harpe - Saint-Germain,Sorbonne,48.85151882,2.343670316
Madeleine,Gare Saint-Lazare - Isly,Madeleine,48.87477768,2.326515805
Villette,Thionville - Ourcq,Villette,48.88917614,2.383365333
Petit-Montrouge,Mouton Duvernet - Général Leclerc,Petit-Montrouge,48.83163252,2.329312116
Rochechouart,Rochechouart lamartine,Rochechouart,48.8767199,2.344393022
Europe,Gare Saint-Lazare - Cour du Havre,Europe,48.8756744,2.326559834
Odéon,Michelet - Assas,Odéon,48.8427415,2.335021198
Saint-Fargeau,Belleville - Porte des Lilas,Saint-Fargeau,48.87660392,2.404769691
Grandes-Carrières,Porte de Saint-Ouen - Henri Huchard,Grandes-Carrières,48.89870837,2.32953608
Saint-Germain-l'Auxerrois,Victoria - Place du Chatelet,Saint-Germain-l'Auxerrois,48.85799259,2.346916795
Saint-Fargeau,Porte de Ménilmontant,Saint-Fargeau,48.86915436,2.409322469
Javel,Lourmel - Marie Skobtsov,Javel,48.844974,2.287283
Clignancourt,Ordener - Poissonniers,Clignancourt,48.89121389,2.351288666
Saint-Vincent-de-Paul,Faubourg Poissonniere - Delta,Saint-Vincent-de-Paul,48.88255581,2.349748202
Gros-Caillou,Berges de Seine - Musée d'Orsay,Gros-Caillou,48.86278859,2.30645936
Gare,Fernand Braudel - Vincent Auriol,Gare,48.83637852,2.372340448
Necker,Suffren - Pérignon,Necker,48.84717561,2.307052148
